indicator,market,lag_days,pearson_r,pearson_p,spearman_r,spearman_p,kendall_r,kendall_p,granger_p,mutual_info,regime,computed_at,min_p,category,is_significant,unexpected,abs_pearson
CRUDE,ret_NIFTY50,29,0.32416577077178954,1.2830473209200442e-29,0.030741403335465753,0.2969645697428954,0.020652987352953556,0.29356958404241706,8.603167919029893e-14,0.0,all,1773591017.83056,1.2830473209200442e-29,other,True,False,0.32416577077178954
CRUDE,ret_NIFTYFMCG,29,0.30320117552533343,1.1428680204645922e-25,-0.0020001880620802146,0.9462154241916286,-0.001854535988892534,0.9252847459947324,0.00016507281351309808,0.0,all,1773591017.83056,1.1428680204645922e-25,other,True,False,0.30320117552533343
SP500,ret_NIFTY50,0,0.29185886405393074,1.356267885516479e-29,0.192510500973126,1.8713513060183347e-13,0.13288558034804385,4.5482002325667005e-14,,0.03620614508123232,all,1773591017.83056,1.356267885516479e-29,other,True,False,0.29185886405393074
CRUDE,ret_BANKNIFTY,28,0.29163440465298496,4.028940863274454e-29,0.018984704701442395,0.47564873931602797,0.01297419475648294,0.46484255051679924,6.727819207923083e-20,0.020118948164742356,all,1773591017.83056,4.028940863274454e-29,other,True,False,0.29163440465298496
wiki_Stock_market_crash,ret_NIFTY50,0,-0.2652584195164104,2.5677645764857373e-25,-0.16524779912192725,1.5085476305885666e-10,-0.1100259584917566,2.1989682991107225e-10,,0.05872435582503277,all,1773591017.83056,2.5677645764857373e-25,digital,True,False,0.2652584195164104
SP500,ret_BANKNIFTY,0,0.2619856455657498,5.751545973961854e-24,0.18026339211060474,5.922356605498369e-12,0.12429804043364748,1.7046085781895936e-12,,0.07236481901862923,all,1773591017.83056,5.751545973961854e-24,other,True,False,0.2619856455657498
wiki_Stock_market_crash,ret_NIFTYIT,0,-0.2527934763356096,4.701071762347078e-23,-0.13662645581660388,1.2792210177441215e-07,-0.09139990722616052,1.3601660691625486e-07,,0.03758343987920565,all,1773591017.83056,4.701071762347078e-23,digital,True,False,0.2527934763356096
SP500,ret_NIFTYIT,0,0.2416398769092336,1.5895765771377725e-20,0.1531364892781073,5.46279732062798e-09,0.10429279939436881,3.200227559390544e-09,,0.0030089119561580446,all,1773591017.83056,1.5895765771377725e-20,other,True,False,0.2416398769092336
CRUDE,ret_NIFTYIT,29,0.23915153932569017,1.8485529463779328e-16,0.0843501436641498,0.004154531907988823,0.05679119794429835,0.0038750415968333046,3.932098206567247e-06,0.015386909566060147,all,1773591017.83056,1.8485529463779328e-16,other,True,False,0.23915153932569017
wiki_Stock_market_crash,ret_BANKNIFTY,0,-0.21017318857238496,2.876311367577824e-16,-0.13769521238721602,1.017831408218352e-07,-0.09108305227203732,1.502300961434931e-07,,0.05713691248221764,all,1773591017.83056,2.876311367577824e-16,digital,True,False,0.21017318857238496
