,RSI2_MeanRev,RSI2_BankNifty,Pairs_nifty50_vs_banknifty,DualMom_nifty50_vs_gold,FundManager,Nifty50_BuyHold
2015-01-01,,50000.0,,,,
2015-01-02,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0
2015-01-05,50000.0,50000.0,50000.0,50000.0,50000.0,49898.45806781738
2015-01-06,50000.0,50000.0,50000.0,50000.0,50000.0,48403.30124401226
2015-01-07,50000.0,50000.0,50000.0,50000.0,50000.0,48252.92217313112
2015-01-08,50000.0,50000.0,50000.0,50000.0,50000.0,49042.03716182303
2015-01-09,50000.0,50000.0,50000.0,50000.0,50000.0,49339.22426593366
2015-01-12,50000.0,50000.0,50000.0,50000.0,50000.0,49568.51512648511
2015-01-13,50000.0,50000.0,50000.0,50000.0,50000.0,49427.96513317935
2015-01-14,50000.0,50000.0,50000.0,50000.0,50000.0,49297.83163569461
2015-01-15,50000.0,50000.0,50000.0,50000.0,50000.0,50587.81955116361
2015-01-16,50000.0,50000.0,50000.0,50000.0,50000.0,50704.84373453301
2015-01-19,50000.0,50000.0,50000.0,,50000.0,50924.607950665246
2015-01-20,50000.0,50000.0,50000.0,50000.0,50000.0,51787.5718816728
2015-01-21,50000.0,50000.0,50000.0,50000.0,50000.0,51989.46927750231
2015-01-22,50000.0,50000.0,50000.0,50000.0,50000.0,52179.455459796685
2015-01-23,50000.0,50000.0,50000.0,50000.0,50000.0,52621.356829132594
2015-01-27,50000.0,50000.0,50000.0,50000.0,50000.0,53067.43410243249
2015-01-28,50000.0,50000.0,50000.0,50000.0,50000.0,53090.0642449448
2015-01-29,50000.0,50000.0,50000.0,50000.0,50000.0,53316.673919246394
2015-01-30,50000.0,50000.0,50000.0,50000.0,50000.0,52462.34678125627
2015-02-02,50000.0,50000.0,50000.0,50000.0,50000.0,52393.857303429206
2015-02-03,50000.0,50000.0,50000.0,50000.0,50000.0,52150.567277360635
2015-02-04,50000.0,50000.0,50000.0,50000.0,50000.0,51954.92792145485
2015-02-05,50000.0,50000.0,50000.0,50000.0,50000.0,51883.46064024402
2015-02-06,50000.0,50000.0,50000.0,50000.0,50000.0,51581.8068310577
2015-02-09,50000.0,50000.0,50000.0,50000.0,50000.0,50779.58543626158
2015-02-10,50000.0,50000.0,50000.0,50000.0,50000.0,51013.046384754765
2015-02-11,50000.0,50000.0,50000.0,50000.0,50000.0,51381.40415294231
2015-02-12,50000.0,50000.0,50000.0,50000.0,50000.0,51882.56497281998
2015-02-13,50000.0,50000.0,50000.0,50000.0,50000.0,52442.095391837625
2015-02-16,50000.0,50000.0,50000.0,,50000.0,52465.022151483885
2015-02-18,50000.0,50000.0,50000.0,50000.0,50000.0,52820.86965584619
2015-02-19,50000.0,50000.0,50000.0,50000.0,50000.0,52976.90771636097
2015-02-20,50000.0,50000.0,50000.0,50000.0,50000.0,52609.44561559745
2015-02-23,50000.0,50000.0,50000.0,50000.0,50000.0,52141.04063294142
2015-02-24,50000.0,50000.0,50000.0,50000.0,50000.0,52183.6197317162
2015-02-25,50000.0,50000.0,50000.0,50000.0,50000.0,52214.29343297808
2015-02-26,50000.0,50000.0,50000.0,50000.0,50000.0,51717.593502153846
2015-02-27,50000.0,50000.0,50000.0,50000.0,50000.0,52674.95729004072
2015-03-02,50000.0,50000.0,50000.0,50000.0,50000.0,53342.880915432586
2015-03-03,50000.0,50000.0,50000.0,50000.0,50000.0,53578.127382751605
2015-03-04,50000.0,50000.0,50000.0,50000.0,50000.0,53139.79705106735
2015-03-05,50000.0,50000.0,50000.0,50000.0,50000.0,53229.724386848764
2015-03-09,50000.0,50000.0,50000.0,50000.0,50000.0,52151.759561918596
2015-03-10,50000.0,50000.0,50000.0,50000.0,50000.0,51885.542776203765
2015-03-11,50000.0,50000.0,50000.0,50000.0,50000.0,51813.48226072506
2015-03-12,50000.0,50000.0,50000.0,50000.0,50000.0,52266.404992194315
2015-03-13,50000.0,50000.0,50000.0,50000.0,50000.0,51502.59842425347
2015-03-16,50000.0,50000.0,50000.0,50000.0,50000.0,51415.64889185584
2015-03-17,50000.0,50000.0,50000.0,50000.0,50000.0,51952.54335233893
2015-03-18,50000.0,50000.0,50000.0,50000.0,50000.0,51729.80714884515
2015-03-19,50000.0,50000.0,50000.0,50000.0,50000.0,51424.58230200719
2015-03-20,50000.0,50000.0,50000.0,50000.0,50000.0,51044.9123705746
2015-03-23,50000.0,50000.0,50000.0,50000.0,50000.0,50925.80023522321
2015-03-24,50000.0,50000.0,50000.0,50000.0,50000.0,50878.45199821658
2015-03-25,50000.0,50000.0,50000.0,50000.0,50000.0,50806.08904958171
2015-03-26,50000.0,50000.0,50000.0,50000.0,50000.0,49682.56732249296
2015-03-27,50000.0,50000.0,50000.0,50000.0,50000.0,49678.10061741729
2015-03-30,50000.0,50000.0,50000.0,50000.0,50000.0,50576.79818903026
2015-03-31,50000.0,50000.0,50000.0,50000.0,50000.0,50569.05706343686
2015-04-01,50000.0,50000.0,50000.0,50000.0,50000.0,51136.32860804791
2015-04-06,50000.0,50000.0,50000.0,50000.0,50000.0,51574.96137288833
2015-04-07,50000.0,50000.0,50000.0,50000.0,50000.0,51577.34012598202
2015-04-08,50000.0,50000.0,50000.0,50000.0,50000.0,51899.5419417209
2015-04-09,50000.0,50000.0,50000.0,50000.0,50000.0,52280.10172455529
2015-04-10,50000.0,50000.0,50000.0,50000.0,50000.0,52292.30955522435
2015-04-13,50000.0,50000.0,50000.0,50000.0,50000.0,52611.830184713384
2015-04-15,,50000.0,,,,
2015-04-16,50000.0,50000.0,50000.0,50000.0,50000.0,51853.68260640616
2015-04-17,50000.0,50000.0,50000.0,50000.0,50000.0,51253.951841707414
2015-04-20,50000.0,50000.0,50000.0,50000.0,50000.0,50313.55920669922
2015-04-21,50000.0,50000.0,50000.0,50000.0,50000.0,49894.58459700957
2015-04-22,50000.0,50000.0,50000.0,50000.0,50000.0,50203.97953178928
2015-04-23,50000.0,50000.0,50000.0,50000.0,50000.0,50016.97115287869
2015-04-24,50000.0,50000.0,50000.0,50000.0,50000.0,49462.803106360734
2015-04-27,50000.0,50000.0,50000.0,50000.0,50000.0,48918.16170426201
2015-04-28,50000.0,50000.0,50000.0,50000.0,50000.0,49345.77310696909
2015-04-29,50000.0,50000.0,50000.0,50000.0,50000.0,49072.7108630849
2015-04-30,50000.0,50000.0,50000.0,50000.0,50000.0,48725.79676887395
2015-05-04,50000.0,50000.0,50000.0,50000.0,50000.0,49621.81897025931
2015-05-05,50000.0,50000.0,50000.0,50000.0,50000.0,49579.234055462286
2015-05-06,50000.0,50000.0,50000.0,50000.0,50000.0,48222.547997014284
2015-05-07,50000.0,50000.0,50000.0,50000.0,50000.0,47986.10924513731
2015-05-08,50000.0,50000.0,50000.0,50000.0,50000.0,48785.35283654965
2015-05-11,50000.0,50000.0,50000.0,50000.0,50000.0,49581.91524171214
2015-05-12,50000.0,50000.0,50000.0,50000.0,50000.0,48400.91958290745
2015-05-13,50000.0,50000.0,50000.0,50000.0,50000.0,49047.1029171888
2015-05-14,50000.0,50000.0,50000.0,50000.0,50000.0,48980.102341053636
2015-05-15,50000.0,50000.0,50000.0,50000.0,50000.0,49207.30524962309
2015-05-18,50000.0,50000.0,50000.0,50000.0,50000.0,49870.16893567142
2015-05-19,50000.0,50000.0,50000.0,50000.0,50000.0,49822.524081530864
2015-05-20,50000.0,50000.0,50000.0,50000.0,50000.0,50165.564704934
2015-05-21,50000.0,50000.0,50000.0,50000.0,50000.0,50152.16458970697
2015-05-22,50000.0,50000.0,50000.0,50000.0,50000.0,50378.1810297407
2015-05-25,50000.0,50000.0,50000.0,,50000.0,49849.917546252786
2015-05-26,50000.0,50000.0,50000.0,50000.0,50000.0,49665.88697072598
2015-05-27,50000.0,50000.0,50000.0,50000.0,50000.0,49637.597838580026
2015-05-28,50000.0,50000.0,50000.0,50000.0,50000.0,49544.69269941483
2015-05-29,50000.0,50000.0,50000.0,50000.0,50000.0,50227.50534172562
2015-06-01,50000.0,50000.0,50000.0,50000.0,50000.0,50226.01644003373
2015-06-02,50000.0,50000.0,50000.0,50000.0,50000.0,49053.05852395637
2015-06-03,50000.0,50000.0,50000.0,50000.0,50000.0,48449.45719646093
2015-06-04,50000.0,50000.0,50000.0,50000.0,50000.0,48422.95358314079
2015-06-05,50000.0,50000.0,50000.0,50000.0,50000.0,48327.96340000472
2015-06-08,50000.0,50000.0,50000.0,50000.0,50000.0,47907.79359774599
2015-06-09,50000.0,50000.0,50000.0,50000.0,50000.0,47778.25915055134
2015-06-10,50000.0,50000.0,50000.0,50000.0,50000.0,48386.03056598853
2015-06-11,50000.0,50000.0,50000.0,50000.0,50000.0,47438.49294766592
2015-06-12,50000.0,50000.0,50000.0,50000.0,50000.0,47543.01268323233
2015-06-15,50000.0,50000.0,50000.0,50000.0,50000.0,47727.636493027
2015-06-16,50000.0,50000.0,50000.0,50000.0,50000.0,47926.55317746161
