strategy,entry_date,exit_date,entry_price,exit_price,pct_return,holding_days,side
RSI2_MeanRev,2016-06-14,2016-06-16,8108.85,8140.75,0.39,2,long
RSI2_MeanRev,2016-08-05,2016-08-08,8683.15,8711.35,0.32,3,long
RSI2_MeanRev,2016-10-17,2016-10-19,8520.4,8659.1,1.63,2,long
RSI2_MeanRev,2016-10-28,2016-11-02,8638.0,8514.0,-1.44,5,long
RSI2_MeanRev,2016-11-04,2016-11-09,8433.75,8432.0,-0.02,5,long
RSI2_MeanRev,2017-04-19,2017-04-21,9103.5,9119.4,0.17,2,long
RSI2_MeanRev,2017-05-25,2017-05-26,9509.75,9595.1,0.9,1,long
RSI2_MeanRev,2017-06-28,2017-07-03,9491.25,9615.0,1.3,5,long
RSI2_MeanRev,2017-08-10,2017-08-17,9820.25,9904.15,0.85,7,long
RSI2_MeanRev,2017-09-26,2017-10-03,9871.5,9859.5,-0.12,7,long
RSI2_MeanRev,2017-11-09,2017-11-20,10308.95,10298.75,-0.1,11,long
RSI2_MeanRev,2017-12-04,2017-12-08,10127.75,10265.65,1.36,4,long
RSI2_MeanRev,2018-02-05,2018-02-12,10666.55,10539.75,-1.19,7,long
RSI2_MeanRev,2018-02-21,2018-02-23,10397.45,10491.05,0.9,2,long
RSI2_MeanRev,2018-03-07,2018-03-12,10154.2,10421.4,2.63,5,long
RSI2_MeanRev,2018-05-18,2018-05-28,10596.4,10688.65,0.87,10,long
RSI2_MeanRev,2018-06-29,2018-07-03,10714.3,10699.9,-0.13,4,long
RSI2_MeanRev,2018-09-05,2018-09-10,11476.95,11438.1,-0.34,5,long
RSI2_MeanRev,2018-09-24,2018-09-27,10967.4,10977.55,0.09,3,long
RSI2_MeanRev,2019-05-08,2019-05-17,11359.45,11407.15,0.42,9,long
RSI2_MeanRev,2019-06-18,2019-06-21,11691.5,11724.1,0.28,3,long
RSI2_MeanRev,2019-07-09,2019-07-15,11555.9,11588.35,0.28,6,long
RSI2_MeanRev,2019-07-23,2019-07-31,11331.05,11118.0,-1.88,8,long
RSI2_MeanRev,2019-10-04,2019-10-07,11174.75,11126.4,-0.43,3,long
RSI2_MeanRev,2020-01-22,2020-01-27,12106.9,12119.0,0.1,5,long
RSI2_MeanRev,2020-02-04,2020-02-06,11979.65,12137.95,1.32,2,long
RSI2_MeanRev,2020-02-19,2020-02-20,12125.9,12080.85,-0.37,1,long
RSI2_MeanRev,2020-02-26,2020-02-27,11678.5,11633.3,-0.39,1,long
RSI2_MeanRev,2020-08-04,2020-08-06,11095.25,11200.15,0.95,2,long
RSI2_MeanRev,2020-09-23,2020-09-29,11131.85,11222.4,0.81,6,long
RSI2_MeanRev,2021-01-28,2021-02-02,13817.55,14647.85,6.01,5,long
RSI2_MeanRev,2021-02-22,2021-02-25,14675.7,15097.35,2.87,3,long
RSI2_MeanRev,2021-03-18,2021-03-23,14557.85,14814.75,1.76,5,long
RSI2_MeanRev,2021-07-22,2021-07-23,15824.05,15856.05,0.2,1,long
RSI2_MeanRev,2021-10-04,2021-10-05,17691.25,17822.3,0.74,1,long
RSI2_MeanRev,2021-11-01,2021-11-03,17929.65,17829.2,-0.56,2,long
RSI2_MeanRev,2021-11-22,2021-11-26,17416.55,17026.45,-2.24,4,long
RSI2_MeanRev,2021-12-21,2021-12-23,16770.85,17072.6,1.8,2,long
RSI2_MeanRev,2022-01-21,2022-02-01,17617.15,17576.85,-0.23,11,long
RSI2_MeanRev,2022-02-24,2022-02-25,16247.95,16658.4,2.53,1,long
RSI2_MeanRev,2022-04-19,2022-04-20,16958.65,17136.55,1.05,1,long
RSI2_MeanRev,2022-09-27,2022-09-29,17007.4,16818.1,-1.11,2,long
RSI2_MeanRev,2022-12-23,2022-12-28,17806.8,18122.5,1.77,5,long
RSI2_MeanRev,2023-01-09,2023-01-10,18101.2,17914.15,-1.03,1,long
RSI2_MeanRev,2023-01-30,2023-02-06,17648.95,17764.6,0.66,7,long
RSI2_MeanRev,2023-02-23,2023-03-01,17511.25,17450.9,-0.34,6,long
RSI2_MeanRev,2023-05-19,2023-05-23,18203.4,18348.0,0.79,4,long
RSI2_MeanRev,2023-08-04,2023-08-08,19517.0,19570.85,0.28,4,long
RSI2_MeanRev,2023-08-21,2023-08-23,19393.6,19444.0,0.26,2,long
RSI2_MeanRev,2023-09-22,2023-09-29,19674.25,19638.3,-0.18,7,long
RSI2_MeanRev,2023-10-23,2023-10-31,19281.75,19079.6,-1.05,8,long
RSI2_MeanRev,2024-04-18,2024-04-23,21995.85,22368.0,1.69,5,long
RSI2_MeanRev,2024-05-08,2024-05-14,22302.5,22217.85,-0.38,6,long
RSI2_MeanRev,2024-05-31,2024-06-04,22530.7,21884.5,-2.87,4,long
RSI2_MeanRev,2024-07-26,2024-07-29,24834.85,24836.1,0.01,3,long
RSI2_MeanRev,2024-08-06,2024-08-09,23992.55,24367.5,1.56,3,long
RSI2_MeanRev,2024-09-09,2024-09-11,24936.4,24918.45,-0.07,2,long
RSI2_MeanRev,2024-10-04,2024-10-10,25014.6,24998.45,-0.06,6,long
RSI2_MeanRev,2024-10-24,2024-10-30,24399.4,24340.85,-0.24,6,long
RSI2_MeanRev,2024-11-14,2024-11-18,23532.7,23453.8,-0.34,4,long
RSI2_MeanRev,2024-12-19,2024-12-23,23951.7,23753.45,-0.83,4,long
RSI2_MeanRev,2025-07-14,2025-07-17,25082.3,25111.45,0.12,3,long
RSI2_MeanRev,2025-07-29,2025-07-31,24821.1,24768.35,-0.21,2,long
RSI2_MeanRev,2025-09-01,2025-09-03,24625.05,24715.05,0.37,2,long
RSI2_MeanRev,2025-09-25,2025-10-03,24890.85,24894.25,0.01,8,long
RSI2_MeanRev,2025-11-07,2025-11-12,25492.3,25875.8,1.5,5,long
RSI2_MeanRev,2025-12-04,2025-12-08,26033.75,25960.55,-0.28,4,long
RSI2_BankNifty,2016-08-03,2016-08-08,18601.78,18939.23,1.81,5,long
RSI2_BankNifty,2016-10-14,2016-10-19,19019.93,19411.87,2.06,5,long
RSI2_BankNifty,2016-11-04,2016-11-08,19057.88,19500.57,2.32,4,long
RSI2_BankNifty,2016-11-21,2016-11-29,18446.19,18223.54,-1.21,8,long
RSI2_BankNifty,2016-12-21,2016-12-23,18084.29,17883.79,-1.11,2,long
RSI2_BankNifty,2017-03-23,2017-03-27,20895.26,21056.66,0.77,4,long
RSI2_BankNifty,2017-04-21,2017-04-25,21551.2,22054.44,2.34,4,long
RSI2_BankNifty,2017-05-25,2017-05-26,23190.53,23361.93,0.74,1,long
RSI2_BankNifty,2017-06-28,2017-07-04,23235.58,23213.93,-0.09,6,long
RSI2_BankNifty,2017-08-11,2017-08-17,23985.47,24236.97,1.05,6,long
RSI2_BankNifty,2017-09-25,2017-10-03,24164.77,24103.12,-0.26,8,long
RSI2_BankNifty,2017-10-23,2017-10-25,24088.62,25035.61,3.93,2,long
RSI2_BankNifty,2017-12-04,2017-12-11,25074.81,25404.55,1.32,7,long
RSI2_BankNifty,2018-02-06,2018-02-15,25811.0,25424.05,-1.5,9,long
RSI2_BankNifty,2018-02-21,2018-02-26,24936.41,25687.6,3.01,5,long
RSI2_BankNifty,2018-05-21,2018-05-25,25750.5,26273.25,2.03,4,long
RSI2_BankNifty,2018-06-20,2018-06-21,26557.39,26496.64,-0.23,1,long
RSI2_BankNifty,2018-07-04,2018-07-05,26433.64,26502.99,0.26,1,long
RSI2_BankNifty,2018-09-04,2018-09-10,27430.43,27201.43,-0.83,6,long
